-20,1,0.92,0.16
-18,1,0.96,0.18
-16,0.98,0.96,0.24
-14,0.98,0.96,0.26
-12,0.98,0.96,0.3
-10,0.92,0.94,0.34
-8,0.86,0.9,0.44
-6,0.76,0.88,0.44
-4,0.62,0.88,0.44
-2,0.56,0.78,0.38
0,0.56,0.76,0.34
2,0.4,0.62,0.34
4,0.34,0.58,0.2
6,0.16,0.5,0.06
8,0.16,0.36,0.04
10,0.12,0.32,0.02
12,0.04,0.18,0
14,0,0.12,0
16,0,0.06,0
18,0,0.02,0
20,0,0,0
